name,loaded,inserted,running,waiting,total,jam,yield lane,wrong lane,collisions,stops,braking,vehicles,routeLength,speed,duration,waiting time,timeLoss,departDelay,total travel time,total depart delay
stats,45181,44513,4577,668,1933,1067,625,231,10,0,351,39936,1831.73,7.35,370.93,145.14,198.94,17.50,14813343.00,698967.62
stats_full,45181,45181,0,0,2689,1506,863,309,11,0,405,45181,1909.99,6.76,581.55,324.42,397.48,77.65,26275207.50,3508319.12
stats_full_routed,45181,45181,0,0,750,355,361,30,4,0,309,45181,1812.64,7.67,326.30,116.55,161.31,36.65,14742773.50,1656010.62
stats_routed,45181,44907,1441,274,564,261,271,28,4,0,301,43466,1794.11,7.76,290.28,84.76,127.48,6.37,12617202.00,276964.83
