name,loaded,inserted,running,waiting,total,jam,yield lane,wrong lane,collisions,stops,braking,vehicles,routeLength,speed,duration,waiting time,timeLoss,departDelay,total travel time,total depart delay
stats,49414,44081,9873,5329,2351,1273,855,216,7,0,791,34208,8683.31,11.37,686.43,145.35,235.48,38.92,23481579.00,1331322.50
stats_full,49414,49414,0,0,11893,6859,3729,1297,8,0,1365,49414,9138.40,9.61,2604.03,1870.10,2112.89,1132.51,128675293.50,55962065.00
stats_full_routed,49414,49414,0,0,1099,546,504,48,1,0,742,49414,8726.26,11.50,811.83,265.26,363.79,111.24,40115885.50,5496746.00
stats_routed,49414,48232,5048,1178,409,172,191,46,0,0,668,43184,8715.89,12.10,679.20,147.35,238.95,42.29,29330719.00,1826262.00
