name,loaded,inserted,running,waiting,total,jam,yield lane,wrong lane,collisions,stops,braking,vehicles,routeLength,speed,duration,waiting time,timeLoss,departDelay,total travel time,total depart delay
stats,10778,10621,1860,157,1699,1073,429,188,9,0,131,8761,2239.62,5.30,702.35,373.44,462.74,55.27,6153262.00,484229.50
stats_full,10778,10778,0,0,2138,1372,533,223,10,0,156,10778,2297.45,4.58,1216.96,847.04,965.25,158.00,13116447.50,1702926.97
stats_full_routed,10778,10778,0,0,33,10,18,1,4,0,135,10778,2073.98,6.99,312.22,62.61,109.72,23.56,3365076.50,253979.97
stats_routed,10778,10778,121,0,33,10,18,1,4,0,135,10657,2069.90,6.98,312.36,62.89,110.14,23.83,3328850.00,253964.66
